,MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
1900,1577960460000,7185.0,7185.0,7185.0,7185.0,0.16
1901,1577960520000,7185.0,7189.3,7189.4,7185.0,0.32328381
1902,1577960580000,7189.3,7189.3,7189.34928498,7189.3,0.09566972
1903,1577960640000,7189.3,7189.3613449,7189.4,7189.3,0.26167264
1904,1577960700000,7189.3,7189.4,7189.4,7189.3,0.20602673000000002
1905,1577960760000,7189.3613449,7189.4,7189.4,7189.3,0.076
1906,1577960820000,7189.4,7192.5,7193.3,7189.4,6.84329
1907,1577960880000,7192.4,7192.1,7192.4,7192.1,0.01484517
1908,1577960940000,7192.5,7194.8,7194.8,7192.5,0.025
1909,1577961000000,7194.8,7196.1,7196.1,7194.8,0.15572773
1910,1577961060000,7196.1,7189.6,7196.1,7189.3,2.38249902
1911,1577961120000,7189.6,7189.62737984,7189.62737984,7189.6,0.03040031
1912,1577961180000,7189.65556476,7189.6,7189.7,7189.6,0.11412215
1913,1577961240000,7189.6,7189.7,7189.7,7189.6,0.01263999
1914,1577961300000,7189.6,7189.6,7189.6024993,7187.9,1.36610549
1915,1577961360000,7189.6,7186.6,7189.6024993,7186.6,1.3442375599999998
1916,1577961420000,7186.5585148,7186.6504016,7186.6504016,7186.5585148,0.087591
1917,1577961480000,7186.6,7184.3610503,7186.6,7178.4079264,16.5835973
1918,1577961540000,7184.0853896,7183.9,7184.4,7183.9,0.04844327
1919,1577961660000,7184.0,7183.9,7184.0,7183.9,0.24920667
1920,1577961720000,7184.1,7184.4,7184.4,7184.1,0.31872097
1921,1577961780000,7184.1,7184.5,7184.5,7184.1,0.05141603
1922,1577961840000,7183.9,7183.9,7183.9,7183.9,0.0115
1923,1577961900000,7183.9,7183.98780254,7183.98780254,7183.9,0.4318517
1924,1577961960000,7183.9,7183.9,7183.98780254,7183.9,0.0996212
1925,1577962020000,7183.9,7183.9,7183.98780254,7183.9,0.059000000000000004
1926,1577962080000,7183.98780254,7180.3,7183.98780254,7179.9,0.10502294
1927,1577962140000,7180.3,7180.3,7180.3,7180.3,0.26939924000000004
1928,1577962200000,7180.32529972,7180.3,7180.32529972,7180.3,0.055
1929,1577962260000,7180.3,7180.4,7180.4,7180.3,0.215
1930,1577962320000,7180.4,7180.4,7180.4,7180.3,0.044164
1931,1577962380000,7180.4,7180.5,7180.5,7180.4,0.51060994
1932,1577962440000,7180.5,7180.4,7180.5,7180.4,0.605292
1933,1577962500000,7180.4,7180.4,7180.4,7180.4,0.25
1934,1577962560000,7180.4,7180.4,7180.4,7180.4,0.01
1935,1577962680000,7180.5,7180.5,7180.5,7180.5,0.005
1936,1577962740000,7180.4,7181.5,7181.5,7180.4,4.36092296
1937,1577962800000,7181.5,7181.5,7181.5,7181.5,0.047383999999999996
1938,1577962860000,7181.5,7181.4,7181.5,7181.4,0.01
1939,1577962920000,7181.5,7181.6,7181.6,7181.5,1.48161877
1940,1577962980000,7181.6,7180.43470958,7181.6,7180.43470958,0.410402
1941,1577963040000,7181.6,7181.6,7181.6,7181.5,0.11170000000000001
1942,1577963100000,7181.6,7181.6,7181.6,7181.6,0.075
1943,1577963220000,7181.6,7181.6,7181.6,7181.55452543,1.04279892
1944,1577963280000,7181.6,7181.6,7181.6,7181.5,1.00224018
1945,1577963340000,7181.6,7182.10448891,7182.10448891,7181.6,0.00597198
1946,1577963400000,7183.2,7183.2,7183.2,7183.2,0.03000001
1947,1577963460000,7184.0,7183.9,7184.0,7183.9,0.84531
1948,1577963520000,7183.5,7183.5,7183.5,7183.5,0.005
1949,1577963580000,7183.5,7182.7,7183.5,7182.7,0.01122474
1950,1577963640000,7182.8,7182.8,7182.8,7182.8,0.00230924
1951,1577963700000,7183.0,7184.0,7184.0,7183.0,0.05997512000000001
1952,1577963760000,7183.0,7183.0,7183.0,7183.0,0.26220499999999997
1953,1577963820000,7182.9,7183.10016699,7183.10016699,7180.5,0.50695376
1954,1577963880000,7183.1,7180.3,7183.1,7180.3,0.10973948
1955,1577963940000,7180.3,7180.3,7180.3,7180.3,0.06390681000000001
1956,1577964000000,7180.3,7180.3,7180.30840971,7180.3,0.03550706
1957,1577964060000,7180.3,7180.3,7180.30840971,7180.3,0.06910002999999999
1958,1577964120000,7180.3,7180.0,7180.3,7180.0,2.1874034399999998
1959,1577964180000,7179.4,7178.4,7179.41252295,7178.4,1.20223225
1960,1577964240000,7178.4,7178.4,7178.4473364,7178.4,0.09333563
1961,1577964300000,7178.4,7178.4,7178.4,7178.4,0.21690849
1962,1577964360000,7178.4,7167.4,7178.4,7167.3,11.80028992
1963,1577964420000,7167.5,7167.5,7167.5,7167.4,0.41273452
1964,1577964480000,7167.4,7167.4,7167.4,7167.4,0.13
1965,1577964540000,7167.4,7167.4,7167.44302057,7167.4,0.02439292
1966,1577964600000,7167.4,7167.4,7167.4,7167.4,0.02789423
1967,1577964660000,7167.4,7167.4,7167.4,7167.4,0.123198
1968,1577964720000,7167.4,7167.4,7167.4,7167.4,0.16241927
1969,1577964780000,7167.33104852,7166.4,7167.33634469,7164.20249141,0.91875979
1970,1577964840000,7166.5,7164.76211164,7166.5,7164.3,2.13289925
1971,1577964900000,7164.8,7164.8,7164.8,7164.76211164,0.052559
1972,1577964960000,7164.8,7164.8,7164.8,7164.7,0.71907548
1973,1577965020000,7165.2,7165.1,7165.2,7165.1,0.06001
1974,1577965080000,7165.2,7165.2,7165.2,7165.10765925,0.33018694
1975,1577965140000,7164.7,7165.0,7165.0,7164.7,0.01202638
1976,1577965200000,7164.88387551,7164.8,7164.88387551,7164.8,0.01
1977,1577965260000,7164.7,7164.7,7164.7,7164.7,0.026
1978,1577965320000,7164.7,7164.7,7164.7,7164.7,0.15
1979,1577965380000,7164.77198364,7164.8,7164.8,7164.77198364,2.025801
1980,1577965440000,7164.8,7164.9,7164.9,7164.8,0.09142722
1981,1577965500000,7165.1,7165.2,7165.2,7165.1,0.11056582
